artist,artist_id,crawled
4men,100176,Y
JungSeunghwan,792091,Y
Dean,880630,Y
HwangChiyeul,205746,Y
JangDeokCheol,829211,Y
MoonMoon,927668,Y
HuhGak,28801,Y
Naul,3959,Y
TheOne,160816,Y
PaulKim,752425,Y
LeeSeungchul,1010,Y
KimBeomsu,6502,Y
KimDongryul,925,Y
ParkHyoshin,1191,Y
Kwill,175139,Y
LeeJuck,1088,Y
Toy,100014,Y
KimYeonwoo,6017,Y
McTheMax,161636,Y
SGWannabe,108363,Y
SungSikyung,3305,Y
LeeSeokhoon,205858,Y
Lyn,8530,Y
BaekJiyoung,1118,Y
IU,261143,Y
LimChangJung,1142,Y
Vibe,160080,Y
LeeSunhee,966,Y
Ben,655051,Y
Younha,203912,Y
RoyKim,699632,Y
JungJoonyoung,25869,Y
JeongJoonil,242988,Y
Melomance,839732,Y
YoonJongshin,437,
ParkOne,41499,
OWhen,968452,
Crush,674710,
10cm,468244,
YangDail,695994,
MondayKids,175155,
Punch,749640,
KwonJinah,760046,
Gummy,30358,
Cheeze,597191,
KimNayoung,735094,
Soyou,490981,
Minseo,906283,
Suran,792765,
JungEunji,644871,
Lucia,177241,
BaekYerin,698776,
SamKim,757273,